PerNo,yyyy,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,眷屬量,通勤成本,歸屬部門
1,2014,0,1.0,1.0,3.0,19.0,4.0,0.0,1.0,1.0,0.0,0.0,23.0,1.0,1.0,3.0,6.0,0.0,0.0,5.0,7.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0,5.0,0.0,9.0,2.0,10.0,4.0,6.0,1.0,2.0,1.0,1.0,2.0,0.0,8.0,19138.0
3,2014,0,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,5.0,1.0,6.0,0.0,0.0,1.0,8.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,9.0,1.0,5.0,5.0,0.0,0.0,2.0,8.0,8181.0
6,2014,0,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,9.0,2.0,0.0,2.0,3.0,1.0,0.0,6.0,6.0,6.0,0.0,0.0,2.0,0.0,2.0,1.0,7.0,5.0,11.0,1.0,6.0,4.0,3.0,3.0,1.0,8.0,14048.0
10,2014,0,1.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,1.0,3.0,6.0,0.0,1.0,1.0,15.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,5.0,12.0,1.0,6.0,4.0,4.0,2.0,0.0,8.0,8157.0
14,2014,0,1.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,4045.0
18,2014,0,1.0,2.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,10.0,1.0,6.0,3.0,5.0,0.0,1.0,9.0,16070.0
19,2014,0,0.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,2.0,0.0,2.0,5.0,8.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,8.0,13147.0
22,2014,0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,2.0,9.0,1.0,6.0,4.0,3.0,0.0,0.0,8.0,8126.0
23,2014,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,1.0,0.0,6.0,0.0,0.0,12.0,7.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,2.0,6.0,1.0,2.0,2.0,0.0,0.0,2.0,8.0,14105.0
24,2014,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,14.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,4.0,10.0,1.0,6.0,6.0,0.0,0.0,2.0,8.0,8038.0
26,2014,0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,13.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,3.0,2.0,1.0,9.0,13151.0
27,2014,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,1.0,6.0,0.0,0.0,1.0,21.0,1.0,0.0,5.0,3.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,2.0,13.0,1.0,7.0,7.0,1.0,1.0,1.0,8.0,14040.0
31,2014,0,1.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,6024.0
