PerNo,yyyy,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,眷屬量,通勤成本,歸屬部門
28,2014,1,1.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,8.0,6167.0
54,2014,1,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,10.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,8.0,8145.0
105,2014,1,1.0,1.0,3.0,19.0,1.0,0.0,0.0,1.0,0.0,1.0,22.0,1.0,1.0,0.0,6.0,0.0,2.0,1.0,8.0,1.0,0.0,1.0,4.0,7.0,0.0,0.0,1.0,1.0,3.0,1.0,10.0,4.0,5.0,2.0,2.0,2.0,0.0,0.0,1.0,13.0,19043.0
116,2014,1,1.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,5.0,1.0,6.0,0.0,0.0,7.0,10.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,2.0,5.0,9.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,8.0,13151.0
142,2014,1,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,1.0,5.0,1.0,0.0,7.0,3.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,8162.0
156,2014,1,1.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,12.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10008.0
176,2014,1,1.0,1.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,10011.0
180,2014,1,1.0,1.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,5.0,2.0,5.0,0.0,0.0,1.0,16.0,0.0,0.0,3.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,6.0,1.0,2.0,2.0,0.0,0.0,0.0,9.0,16086.0
190,2014,1,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,5.0,5.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,8.0,19039.0
234,2014,1,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,2.0,9.0,1.0,5.0,4.0,1.0,1.0,0.0,8.0,2180.0
275,2014,1,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,10.0,9.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,8.0,13147.0
297,2014,1,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,1.0,6.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,19135.0
312,2014,1,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,2.0,1.0,0.0,6.0,2.0,0.0,1.0,14.0,2.0,0.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,2.0,5.0,1.0,3.0,3.0,0.0,0.0,2.0,8.0,2058.0
354,2014,1,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,5.0,0.0,6.0,0.0,1.0,1.0,18.0,1.0,0.0,3.0,6.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,7.0,1.0,2.0,2.0,0.0,0.0,1.0,8.0,8157.0
359,2014,1,1.0,1.0,7.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,20208.0
386,2014,1,1.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,7.0,1.0,3.0,1.0,3.0,2.0,0.0,8.0,6167.0
428,2014,1,1.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,2.0,0.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,14.0,6170.0
476,2014,1,1.0,1.0,7.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,2.0,5.0,0.0,6.0,6.0,0.0,2.0,5.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,19039.0
528,2014,1,1.0,1.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,11.0,1.0,6.0,6.0,0.0,0.0,1.0,8.0,8142.0
617,2014,1,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,7.0,1.0,2.0,1.0,1.0,1.0,0.0,6.0,20130.0
773,2014,1,1.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,1.0,1.0,6.0,0.0,2.0,4.0,13.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,6.0,9.0,5.0,8.0,1.0,3.0,3.0,0.0,0.0,1.0,8.0,2101.0
806,2014,1,1.0,1.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,4.0,13.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,8.0,1.0,4.0,1.0,5.0,1.0,0.0,8.0,6167.0
